Video,Section,Title,Start ,End,URL,Description,Image
Beyond Boxes,,Choreographing I,00:00:00,00:00:58,https://researchdata.sfu.ca/islandora/object/islandora:10906,,
,,DTES/Audain Gallery ,00:00:59,00:02:45,,,
,,Samantha,00:02:46,00:03:20,,,
,,Felicia,00:03:21,00:03:40,,,
,,Samantha,00:03:41,00:04:20,,,
,,Choreographing II,00:04:21,00:05:45,,,
,,Thoenn,00:05:46,00:06:36,,,
,,Cai ,00:06:37,00:07:20,,,
,,Choreographing III,00:07:21,00:08:15,,,
,,Peter,00:08:16,00:08:38,,,
,,Felicia 2,00:08:39,00:08:56,,,
,,Matthew,00:08:57,00:09:20,,,
,,Michelle,00:09:21,00:09:39,,,
,,Peter 2,00:09:40,00:09:59,,,
,,Thoenn 2,00:10:00,00:10:50,,,
,,Choreographing IV,00:10:51,00:11:11,,,
,,Remembering,00:11:12,00:13:49,,,
,,Choreographing V,00:13:50,00:14:39,,,
,,Credits,00:14:40,00:15:01,,,
