Video,Section,Title,Start ,End,URL,Description,Image
"Imprint II, Camera A",,Colour Bars,00:00:00,00:00:29,https://researchdata.sfu.ca/islandora/object/islandora:10909,,
,,The Audience,00:00:30,00:02:24,,,
,,Forgotten Memories,00:02:24,00:09:00,,,
,,The Stranger,00:09:01,00:11:56,,,
,,The Unwelcome,00:11:57,00:12:38,,,
,,Confusing Memories,00:12:39,00:16:00,,,
,,The Emissary,00:16:01,00:20:17,,,
,,The Denial,00:20:18,00:25:19,,,
,,Acceptance,00:25:20,00:30:27,,,
,,Images from the past,00:30:28,00:34:12,,,
,,Re-membering,00:34:13,00:40:25,,,
,,Re-cognising,00:40:26,00:44:32,,,
,,Curtain call,00:40:26,00:44:32,,,
