Video,Section,Title,Start ,End,URL,Description,Image
"Imprint II, Camera A",,Colour Bars,00:00:00,00:00:29,https://researchdata.sfu.ca/islandora/object/islandora:10909,,
,,The Audience,00:00:30,00:01:35,,,
,,Forgotten Memories,00:01:36,00:08:07,,,
,,The Stranger,00:08:08,00:11:09,,,
,,The Unwelcome,00:11:10,00:11:48,,,
,,Confusing Memories,00:11:49,00:15:07,,,
,,The Emissary,00:15:08,00:19:30,,,
,,The Denial,00:19:31,00:24:29,,,
,,Acceptance,00:24:30,00:29:38,,,
,,Images from the past,00:29:39,00:33:24,,,
,,Re-membering,00:33:25,00:39:39,,,
,,Re-cognising,00:39:40,00:43:43,,,
,,Curtain call,00:43:44,00:45:57,,,
